Value,Stripe 1,Stripe 2,Stripe 3,Stripe 4 (if 5 stripes)
1M, Brown     ,  Black     ,  Green     ,
4.7k, Yellow    ,  Violet    ,  Red       ,
560, Green     ,  Blue      ,Black,Black
2.20k, Red       ,  Red       ,  Red       ,
33k, Orange    ,  Orange    ,  Orange    ,
100, Brown     ,  Black     ,Black,Black
330, Orange    ,  Orange    ,Black,
330, Orange    ,  Orange    ,  Yellow    ,
120k, Brown     ,  Red       ,Black,Orange
2.7M, Red       ,  Violet    ,Black,Yellow
3.3k, Orange    ,  Orange    ,  Red       ,
100k, Brown     ,  Black     ,  Yellow    ,
47k, Yellow    ,  Violet    ,  Orange    ,
13k, Brown     ,  Orange    ,Black,Red
22k, Red       ,  Red       ,Black,Red
470k, Yellow    ,  Violet    ,Black,Orange
220k, Red       ,  Red       ,Black,Orange
680, Blue      ,  Grey      ,Black,Black
680k, Blue      ,  Grey      ,Black,Orange
150k, Brown     ,  Green     ,Black,Orange
10k, Brown     ,  Black     ,Black,Red
180k, Brown     ,  Grey      ,  Yellow    ,
39, Orange    ,  White     ,  Black  ,
300,Orange,Black,Brown,
